,answer,groups,imageId,question,entailed,equivalent,local_question_group,local_question_group_clean,global_question_group
06778809,kiosk,"{'global': 'place', 'local': '02q-place'}",440,What place is this?,"['06778810', '06778808']","['06778808', '06778809']",02q-place,place,place
14505284,city,"{'global': 'place', 'local': '02q-place'}",2388594,Which place is it?,"['14505285', '14505286', '14505287', '14505282', '14505283', '14505288']",['14505284'],02q-place,place,place
04719588,street,"{'global': 'place', 'local': '02q-place'}",2379107,Which place is it?,['04719587'],['04719588'],02q-place,place,place
04719587,street,"{'global': 'place', 'local': '02q-place'}",2379107,What place is this?,['04719588'],['04719587'],02q-place,place,place
0736999,field,"{'global': 'place', 'local': '02q-place'}",2349657,Which place is it?,"['0737004', '0737003', '0737002', '0737001', '0737000', '0736998']",['0736999'],02q-place,place,place
18589313,field,"{'global': 'place', 'local': '02q-place'}",2362221,Which place is it?,"['18589312', '18589316', '18589317', '18589314', '18589315']",['18589313'],02q-place,place,place
12574027,meadow,"{'global': 'place', 'local': '02q-place'}",2414792,Which place is it?,"['12574025', '12574026']",['12574027'],02q-place,place,place
14515218,zoo,"{'global': 'place', 'local': '02q-place'}",2322000,Which place is it?,"['14515220', '14515216', '14515217', '14515215', '14515222', '14515221', '14515219']",['14515218'],02q-place,place,place
19470781,yard,"{'global': 'place', 'local': '02q-place'}",2417079,Which place is it?,['19470780'],['19470781'],02q-place,place,place
05239946,park,"{'global': 'place', 'local': '02q-place'}",2339103,Which place is it?,"['05239949', '05239948', '05239952', '05239950', '05239951', '05239945', '05239947']",['05239946'],02q-place,place,place
04211710,pavement,"{'global': 'road', 'local': '02q-place'}",2315995,What place could this be?,['04211711'],['04211710'],02q-place,place,road
04211711,pavement,"{'global': 'road', 'local': '02q-place'}",2315995,Which place is it?,['04211710'],['04211711'],02q-place,place,road
15440815,runway,"{'global': 'road', 'local': '02q-place'}",2342726,What type of place is pictured?,['15440816'],['15440815'],02q-place,place,road
16756940,sea,"{'global': 'place', 'local': '02q-place'}",1891,What type of place is pictured?,['16756941'],['16756940'],02q-place,place,place
16451213,lawn,"{'global': 'place', 'local': '02q-place'}",2322395,Which place is it?,['16451212'],['16451213'],02q-place,place,place
07414075,supermarket,"{'global': 'place', 'local': '02q-place'}",2321875,Which place is it?,['07414074'],['07414075'],02q-place,place,place
07414074,supermarket,"{'global': 'place', 'local': '02q-place'}",2321875,What place is it?,['07414075'],['07414074'],02q-place,place,place
18993745,field,"{'global': 'place', 'local': '02q-place'}",2404621,Which place is it?,"['18993746', '18993747', '18993744', '18993748', '18993749']",['18993745'],02q-place,place,place
04271584,forest,"{'global': 'place', 'local': '02q-place'}",2367471,Which place is it?,"['04271585', '04271587', '04271586', '04271583']",['04271584'],02q-place,place,place
12574026,meadow,"{'global': 'place', 'local': '02q-place'}",2414792,What place is shown?,"['12574025', '12574027']","['12574025', '12574026']",02q-place,place,place
19122210,ocean,"{'global': 'place', 'local': '02q-place'}",2367500,Which place is it?,['19122209'],['19122210'],02q-place,place,place
16460176,highway,"{'global': 'road', 'local': '02q-place'}",2403363,Which place is this?,"['16460175', '16460177']","['16460175', '16460176']",02q-place,place,road
17274793,display,"{'global': 'place', 'local': '02q-place'}",2332127,Which place is it?,"['17274792', '17274791']",['17274793'],02q-place,place,place
06786497,park,"{'global': 'place', 'local': '02q-place'}",2318160,Which place is it?,"['06786500', '06786498', '06786499', '06786496']",['06786497'],02q-place,place,place
07832171,station,"{'global': 'place', 'local': '02q-place'}",2354317,What place is it?,['07832172'],['07832171'],02q-place,place,place
19956617,station,"{'global': 'place', 'local': '02q-place'}",2340863,What place could this be?,['19956618'],['19956617'],02q-place,place,place
10776217,street,"{'global': 'place', 'local': '02q-place'}",2336227,What place was the picture taken at?,"['10776219', '10776218', '10776216']","['10776217', '10776216', '10776218']",02q-place,place,place
15504977,field,"{'global': 'place', 'local': '02q-place'}",2413830,What kind of place is shown?,"['15504979', '15504981', '15504984', '15504980', '15504978', '15504982', '15504983']","['15504977', '15504978']",02q-place,place,place
08980296,road,"{'global': 'road', 'local': '02q-place'}",713924,What type of place is it?,['08980297'],['08980296'],02q-place,place,road
06617540,lobby,"{'global': 'place', 'local': '02q-place'}",2404386,Which place is it?,['06617539'],['06617540'],02q-place,place,place
04221793,ocean,"{'global': 'place', 'local': '02q-place'}",2387575,Which place is it?,['04221792'],['04221793'],02q-place,place,place
04221792,ocean,"{'global': 'place', 'local': '02q-place'}",2387575,Where is this?,['04221793'],['04221792'],02q-place,place,place
12920766,zoo,"{'global': 'place', 'local': '02q-place'}",2389415,Which place is it?,"['12920768', '12920769', '12920767', '12920765']",['12920766'],02q-place,place,place
01136274,pen,"{'global': '', 'local': '02q-place'}",2377780,What place is it?,['01136275'],['01136274'],02q-place,place,
01136275,pen,"{'global': '', 'local': '02q-place'}",2377780,Which place is it?,['01136274'],['01136275'],02q-place,place,
14154707,shore,"{'global': 'place', 'local': '02q-place'}",2347681,Which place is it?,['14154706'],['14154707'],02q-place,place,place
08177585,pavement,"{'global': 'road', 'local': '02q-place'}",2358257,Which place is it?,['08177584'],['08177585'],02q-place,place,road
15224823,ocean,"{'global': 'place', 'local': '02q-place'}",2330612,Which place is it?,['15224822'],['15224823'],02q-place,place,place
02322658,display,"{'global': 'place', 'local': '02q-place'}",2371615,Where is it?,['02322659'],['02322658'],02q-place,place,place
02322659,display,"{'global': 'place', 'local': '02q-place'}",2371615,Which place is it?,['02322658'],['02322659'],02q-place,place,place
15440690,shore,"{'global': 'place', 'local': '02q-place'}",2342727,Which place is it?,['15440689'],['15440690'],02q-place,place,place
14177193,walkway,"{'global': 'road', 'local': '02q-place'}",2361345,Which place is it?,['14177192'],['14177193'],02q-place,place,road
06454444,beach,"{'global': 'place', 'local': '02q-place'}",2343702,Where was the photo taken?,"['06454448', '06454447', '06454446', '06454445']",['06454444'],02q-place,place,place
0692990,walkway,"{'global': 'road', 'local': '02q-place'}",2370434,What place is it?,['0692991'],['0692990'],02q-place,place,road
0692991,walkway,"{'global': 'road', 'local': '02q-place'}",2370434,Which place is it?,['0692990'],['0692991'],02q-place,place,road
